Freq.	V(n0)	V(n1)
2.16224e+003	(0.00000e+000dB,0.00000e+000°)	(-2.78031e+001dB,8.76661e+001°)
2.17225e+003	(0.00000e+000dB,0.00000e+000°)	(-2.77631e+001dB,8.76553e+001°)
2.18226e+003	(0.00000e+000dB,0.00000e+000°)	(-2.77232e+001dB,8.76445e+001°)
2.19227e+003	(0.00000e+000dB,0.00000e+000°)	(-2.76835e+001dB,8.76337e+001°)
2.20228e+003	(0.00000e+000dB,0.00000e+000°)	(-2.76440e+001dB,8.76229e+001°)
2.21229e+003	(0.00000e+000dB,0.00000e+000°)	(-2.76047e+001dB,8.76121e+001°)
2.22230e+003	(0.00000e+000dB,0.00000e+000°)	(-2.75655e+001dB,8.76013e+001°)
2.23231e+003	(0.00000e+000dB,0.00000e+000°)	(-2.75266e+001dB,8.75905e+001°)
2.24232e+003	(0.00000e+000dB,0.00000e+000°)	(-2.74878e+001dB,8.75797e+001°)
2.25233e+003	(0.00000e+000dB,0.00000e+000°)	(-2.74492e+001dB,8.75689e+001°)
2.26234e+003	(0.00000e+000dB,0.00000e+000°)	(-2.74107e+001dB,8.75582e+001°)
2.27235e+003	(0.00000e+000dB,0.00000e+000°)	(-2.73724e+001dB,8.75474e+001°)
2.28236e+003	(0.00000e+000dB,0.00000e+000°)	(-2.73343e+001dB,8.75366e+001°)
2.29237e+003	(0.00000e+000dB,0.00000e+000°)	(-2.72964e+001dB,8.75258e+001°)
2.30238e+003	(0.00000e+000dB,0.00000e+000°)	(-2.72586e+001dB,8.75150e+001°)
2.31239e+003	(0.00000e+000dB,0.00000e+000°)	(-2.72210e+001dB,8.75042e+001°)
2.32240e+003	(0.00000e+000dB,0.00000e+000°)	(-2.71836e+001dB,8.74934e+001°)
2.33241e+003	(0.00000e+000dB,0.00000e+000°)	(-2.71463e+001dB,8.74826e+001°)
2.34242e+003	(0.00000e+000dB,0.00000e+000°)	(-2.71091e+001dB,8.74718e+001°)
2.35243e+003	(0.00000e+000dB,0.00000e+000°)	(-2.70722e+001dB,8.74610e+001°)
2.36244e+003	(0.00000e+000dB,0.00000e+000°)	(-2.70354e+001dB,8.74503e+001°)
2.37245e+003	(0.00000e+000dB,0.00000e+000°)	(-2.69987e+001dB,8.74395e+001°)
